,Variants,HD,Count input,Count selected,Fitness
60791,GMEM,4,129,1,0.00212467701404
80850,KNIE,4,201,1,0.00136359868065
71848,IFKK,4,122,3,0.0067397541347
83836,KYWH,4,33,0,0.0
144857,YIAL,4,1437,1561,0.297734228003
141319,WSVP,4,14527,147,0.002773473547
114786,QRPD,4,10,0,0.0
43917,DTSM,4,91,0,0.0
38341,CWEE,4,48,0,0.0
87026,LMCA,4,1638,19289,3.22759062587
24869,VTNG,3,300,25,0.0228402779009
62640,GSPA,4,436,6,0.00377178901116
52048,FELC,4,60,138,0.630391670066
56336,FSYW,4,78,1,0.00351388890783
116398,QYEQ,4,93,0,0.0
7856,GTGY,3,655,16,0.0066951654305
37532,CSTY,4,493,10,0.00555949969191
28849,AFTE,4,37,0,0.0
70348,HYAF,4,185,10,0.0148153153952
41471,DLDS,4,233,5,0.00588161662685
8521,HHGG,3,249,130,0.14309571697
93815,MMPE,4,210,2,0.00261031747439
33625,CFMT,4,625,124,0.0543781336265
32106,AVVH,4,82,1,0.00334247969282
143292,YCMH,4,66,1,0.00415277780017
51037,EYFN,4,22,3,0.0373750002015
3995,DDAH,3,16,0,0.0
32833,CCFC,4,113,7,0.0169786136609
50126,ETLY,4,299,4,0.00366666668644
104396,PELW,4,65,0,0.0
58507,GENA,4,207,0,0.0
90370,LYPI,4,165,2,0.00332222224013
51717,FCKQ,4,11,0,0.0
82425,KSVF,4,1194,14,0.00321370744335
102383,NTNM,4,82,1,0.00334247969282
146119,YMQP,4,353,1,0.000776440041958
58616,GEVC,4,292,2,0.00187728311514
32830,CCEW,4,77,0,0.0
81544,KQII,4,92,0,0.0
2209,ACGK,3,18,0,0.0
130892,TEYT,4,37,1,0.0074076576976
25258,VVQS,3,63,1,0.00435052912399
33208,CEHW,4,73,2,0.00750913246058
6263,FDVW,3,82,0,0.0
25379,VWAM,3,165,1921,3.19099446165
131446,TGQM,4,10,0,0.0
78608,KFVT,4,912,5,0.0015026498619
95463,MSKF,4,146,1,0.00187728311514
120397,RNMS,4,1478,27,0.00500693507436
23868,VQPR,3,118,1,0.00232274012552
65234,HFEI,4,214,2,0.00256152649356
77377,KAIH,4,617,7,0.00310953540304
78687,KGDD,4,27,1,0.0101512346226
33979,CGNI,4,128,3,0.00642382815964
118618,RHMP,4,586,6,0.0028063140083
128048,SRKN,4,238,0,0.0
9140,IDCN,3,64,2,0.00856510421285
38222,CVTN,4,481,12,0.00683783787471
79686,KIYM,4,137,3,0.00600182484988
25343,VVWM,3,57,1,0.00480847955809
119586,RLFM,4,1156,5,0.00118548155195
22577,VLVF,3,1240,15,0.00331552421142
134545,TSIC,4,99,4,0.0110740741338
92765,MINY,4,214,4,0.00512305298712
123336,RYTS,4,690,10,0.00397222224364
60711,GLYC,4,144,2,0.00380671298349
4596,DQGK,3,25,0,0.0
83887,LACC,4,346,2069,1.6389549703
45648,EEIH,4,92,0,0.0
61256,GNNG,4,151,1,0.00181512142259
16216,QRGA,3,3732,6337,0.465398202759
30734,APIS,4,38,0,0.0
24197,VRPK,3,204,2,0.00268709151776
95686,MTAF,4,197,4,0.00556514385403
36081,CNQG,4,140,6,0.0117464286348
117848,RFIE,4,446,6,0.00368721975082
64341,HANW,4,87,0,0.0
22367,VLFW,3,488,8,0.00449316942313
40510,DHCM,4,11,0,0.0
123260,RYPN,4,179,5,0.00765595907294
146918,YPYL,4,680,9,0.00362757354897
78781,KGKE,4,561,4,0.00195424837655
17946,SEGN,3,399,20,0.0137385130231
101215,NQDT,4,111,0,0.0
39999,DFLW,4,55,1,0.0049833333602
26113,WCGS,3,3067,15613,1.3952602238
113697,QNLI,4,482,11,0.00625501386498
1806,VQGI,2,149,109,0.20050391607
10329,KDLS,3,2972,62,0.0057177546293
86989,LLYC,4,733,50,0.0186959982818
74248,INIE,4,224,4,0.00489434526448
72093,IGCR,4,356,15,0.0115484551184
11552,LDWQ,3,165,3,0.0049833333602
